Destination Name,State,Region,Category,Popular Attraction,Accessibility,Best Season
"Hill View Point, Kolkata",West Bengal,East,Cultural,Hill View Point,Easy,All Season
"Lake Park, Kolkata",West Bengal,East,Cultural,Lake Park,Easy,All Season
"Cultural Center, Kolkata",West Bengal,East,Cultural,Cultural Center,Easy,All Season
"Science Museum, Kolkata",West Bengal,East,Cultural,Science Museum,Easy,All Season
"Art Gallery, Kolkata",West Bengal,East,Cultural,Art Gallery,Easy,All Season
"Historic Market, Kolkata",West Bengal,East,Cultural,Historic Market,Easy,All Season
"Old Town Square, Kolkata",West Bengal,East,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Kolkata",West Bengal,East,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Kolkata",West Bengal,East,Cultural,Eco Park,Easy,All Season
"Adventure Park, Kolkata",West Bengal,East,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Kolkata",West Bengal,East,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Kolkata",West Bengal,East,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Kolkata",West Bengal,East,Cultural,Sunset Point,Easy,All Season
"View Tower, Kolkata",West Bengal,East,Cultural,View Tower,Easy,All Season
"Public Garden, Kolkata",West Bengal,East,Cultural,Public Garden,Easy,All Season
"River Walk, Kolkata",West Bengal,East,Cultural,River Walk,Easy,All Season
"City Museum, Darjeeling",West Bengal,East,Cultural,City Museum,Easy,All Season
"Riverfront Park, Darjeeling",West Bengal,East,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Darjeeling",West Bengal,East,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Darjeeling",West Bengal,East,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Darjeeling",West Bengal,East,Cultural,Hill View Point,Easy,All Season
"Lake Park, Darjeeling",West Bengal,East,Cultural,Lake Park,Easy,All Season
"Cultural Center, Darjeeling",West Bengal,East,Cultural,Cultural Center,Easy,All Season
"Science Museum, Darjeeling",West Bengal,East,Cultural,Science Museum,Easy,All Season
"Art Gallery, Darjeeling",West Bengal,East,Cultural,Art Gallery,Easy,All Season
"Historic Market, Darjeeling",West Bengal,East,Cultural,Historic Market,Easy,All Season
"Old Town Square, Darjeeling",West Bengal,East,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Darjeeling",West Bengal,East,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Darjeeling",West Bengal,East,Cultural,Eco Park,Easy,All Season
"Adventure Park, Darjeeling",West Bengal,East,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Darjeeling",West Bengal,East,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Darjeeling",West Bengal,East,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Darjeeling",West Bengal,East,Cultural,Sunset Point,Easy,All Season
"View Tower, Darjeeling",West Bengal,East,Cultural,View Tower,Easy,All Season
"Public Garden, Darjeeling",West Bengal,East,Cultural,Public Garden,Easy,All Season
"River Walk, Darjeeling",West Bengal,East,Cultural,River Walk,Easy,All Season
"City Museum, Siliguri",West Bengal,East,Cultural,City Museum,Easy,All Season
"Riverfront Park, Siliguri",West Bengal,East,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Siliguri",West Bengal,East,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Siliguri",West Bengal,East,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Siliguri",West Bengal,East,Cultural,Hill View Point,Easy,All Season
"Lake Park, Siliguri",West Bengal,East,Cultural,Lake Park,Easy,All Season
"Cultural Center, Siliguri",West Bengal,East,Cultural,Cultural Center,Easy,All Season
"Science Museum, Siliguri",West Bengal,East,Cultural,Science Museum,Easy,All Season
"Art Gallery, Siliguri",West Bengal,East,Cultural,Art Gallery,Easy,All Season
"Historic Market, Siliguri",West Bengal,East,Cultural,Historic Market,Easy,All Season
"Old Town Square, Siliguri",West Bengal,East,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Siliguri",West Bengal,East,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Siliguri",West Bengal,East,Cultural,Eco Park,Easy,All Season
"Adventure Park, Siliguri",West Bengal,East,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Siliguri",West Bengal,East,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Siliguri",West Bengal,East,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Siliguri",West Bengal,East,Cultural,Sunset Point,Easy,All Season
"View Tower, Siliguri",West Bengal,East,Cultural,View Tower,Easy,All Season
"Public Garden, Siliguri",West Bengal,East,Cultural,Public Garden,Easy,All Season
"River Walk, Siliguri",West Bengal,East,Cultural,River Walk,Easy,All Season
"City Museum, Guwahati",Assam,Northeast,Cultural,City Museum,Easy,All Season
"Riverfront Park, Guwahati",Assam,Northeast,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Guwahati",Assam,Northeast,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Guwahati",Assam,Northeast,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Guwahati",Assam,Northeast,Cultural,Hill View Point,Easy,All Season
"Lake Park, Guwahati",Assam,Northeast,Cultural,Lake Park,Easy,All Season
"Cultural Center, Guwahati",Assam,Northeast,Cultural,Cultural Center,Easy,All Season
"Science Museum, Guwahati",Assam,Northeast,Cultural,Science Museum,Easy,All Season
"Art Gallery, Guwahati",Assam,Northeast,Cultural,Art Gallery,Easy,All Season
"Historic Market, Guwahati",Assam,Northeast,Cultural,Historic Market,Easy,All Season
"Old Town Square, Guwahati",Assam,Northeast,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Guwahati",Assam,Northeast,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Guwahati",Assam,Northeast,Cultural,Eco Park,Easy,All Season
"Adventure Park, Guwahati",Assam,Northeast,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Guwahati",Assam,Northeast,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Guwahati",Assam,Northeast,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Guwahati",Assam,Northeast,Cultural,Sunset Point,Easy,All Season
"View Tower, Guwahati",Assam,Northeast,Cultural,View Tower,Easy,All Season
"Public Garden, Guwahati",Assam,Northeast,Cultural,Public Garden,Easy,All Season
"River Walk, Guwahati",Assam,Northeast,Cultural,River Walk,Easy,All Season
"City Museum, Shillong",Meghalaya,Northeast,Cultural,City Museum,Easy,All Season
"Riverfront Park, Shillong",Meghalaya,Northeast,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Shillong",Meghalaya,Northeast,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Shillong",Meghalaya,Northeast,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Shillong",Meghalaya,Northeast,Cultural,Hill View Point,Easy,All Season
"Lake Park, Shillong",Meghalaya,Northeast,Cultural,Lake Park,Easy,All Season
"Cultural Center, Shillong",Meghalaya,Northeast,Cultural,Cultural Center,Easy,All Season
"Science Museum, Shillong",Meghalaya,Northeast,Cultural,Science Museum,Easy,All Season
"Art Gallery, Shillong",Meghalaya,Northeast,Cultural,Art Gallery,Easy,All Season
"Historic Market, Shillong",Meghalaya,Northeast,Cultural,Historic Market,Easy,All Season
"Old Town Square, Shillong",Meghalaya,Northeast,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Shillong",Meghalaya,Northeast,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Shillong",Meghalaya,Northeast,Cultural,Eco Park,Easy,All Season
"Adventure Park, Shillong",Meghalaya,Northeast,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Shillong",Meghalaya,Northeast,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Shillong",Meghalaya,Northeast,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Shillong",Meghalaya,Northeast,Cultural,Sunset Point,Easy,All Season
"View Tower, Shillong",Meghalaya,Northeast,Cultural,View Tower,Easy,All Season
"Public Garden, Shillong",Meghalaya,Northeast,Cultural,Public Garden,Easy,All Season
"River Walk, Shillong",Meghalaya,Northeast,Cultural,River Walk,Easy,All Season
"City Museum, Gangtok",Sikkim,Northeast,Cultural,City Museum,Easy,All Season
"Riverfront Park, Gangtok",Sikkim,Northeast,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Gangtok",Sikkim,Northeast,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Gangtok",Sikkim,Northeast,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Gangtok",Sikkim,Northeast,Cultural,Hill View Point,Easy,All Season
"Lake Park, Gangtok",Sikkim,Northeast,Cultural,Lake Park,Easy,All Season
"Cultural Center, Gangtok",Sikkim,Northeast,Cultural,Cultural Center,Easy,All Season
"Science Museum, Gangtok",Sikkim,Northeast,Cultural,Science Museum,Easy,All Season
"Art Gallery, Gangtok",Sikkim,Northeast,Cultural,Art Gallery,Easy,All Season
"Historic Market, Gangtok",Sikkim,Northeast,Cultural,Historic Market,Easy,All Season
"Old Town Square, Gangtok",Sikkim,Northeast,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Gangtok",Sikkim,Northeast,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Gangtok",Sikkim,Northeast,Cultural,Eco Park,Easy,All Season
"Adventure Park, Gangtok",Sikkim,Northeast,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Gangtok",Sikkim,Northeast,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Gangtok",Sikkim,Northeast,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Gangtok",Sikkim,Northeast,Cultural,Sunset Point,Easy,All Season
"View Tower, Gangtok",Sikkim,Northeast,Cultural,View Tower,Easy,All Season
"Public Garden, Gangtok",Sikkim,Northeast,Cultural,Public Garden,Easy,All Season
"River Walk, Gangtok",Sikkim,Northeast,Cultural,River Walk,Easy,All Season
"City Museum, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,City Museum,Easy,All Season
"Riverfront Park, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Hill View Point,Easy,All Season
"Lake Park, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Lake Park,Easy,All Season
"Cultural Center, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Cultural Center,Easy,All Season
"Science Museum, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Science Museum,Easy,All Season
"Art Gallery, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Art Gallery,Easy,All Season
"Historic Market, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Historic Market,Easy,All Season
"Old Town Square, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Eco Park,Easy,All Season
"Adventure Park, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Sunset Point,Easy,All Season
"View Tower, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,View Tower,Easy,All Season
"Public Garden, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,Public Garden,Easy,All Season
"River Walk, Port Blair",Andaman and Nicobar Islands,Islands,Cultural,River Walk,Easy,All Season
"City Museum, Leh",Ladakh,North,Cultural,City Museum,Easy,All Season
"Riverfront Park, Leh",Ladakh,North,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Leh",Ladakh,North,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Leh",Ladakh,North,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Leh",Ladakh,North,Cultural,Hill View Point,Easy,All Season
"Lake Park, Leh",Ladakh,North,Cultural,Lake Park,Easy,All Season
"Cultural Center, Leh",Ladakh,North,Cultural,Cultural Center,Easy,All Season
"Science Museum, Leh",Ladakh,North,Cultural,Science Museum,Easy,All Season
"Art Gallery, Leh",Ladakh,North,Cultural,Art Gallery,Easy,All Season
"Historic Market, Leh",Ladakh,North,Cultural,Historic Market,Easy,All Season
"Old Town Square, Leh",Ladakh,North,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Leh",Ladakh,North,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Leh",Ladakh,North,Cultural,Eco Park,Easy,All Season
"Adventure Park, Leh",Ladakh,North,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Leh",Ladakh,North,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Leh",Ladakh,North,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Leh",Ladakh,North,Cultural,Sunset Point,Easy,All Season
"View Tower, Leh",Ladakh,North,Cultural,View Tower,Easy,All Season
"Public Garden, Leh",Ladakh,North,Cultural,Public Garden,Easy,All Season
"River Walk, Leh",Ladakh,North,Cultural,River Walk,Easy,All Season
"City Museum, Panaji",Goa,West,Cultural,City Museum,Easy,All Season
"Riverfront Park, Panaji",Goa,West,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Panaji",Goa,West,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Panaji",Goa,West,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Panaji",Goa,West,Cultural,Hill View Point,Easy,All Season
"Lake Park, Panaji",Goa,West,Cultural,Lake Park,Easy,All Season
"Cultural Center, Panaji",Goa,West,Cultural,Cultural Center,Easy,All Season
"Science Museum, Panaji",Goa,West,Cultural,Science Museum,Easy,All Season
"Art Gallery, Panaji",Goa,West,Cultural,Art Gallery,Easy,All Season
"Historic Market, Panaji",Goa,West,Cultural,Historic Market,Easy,All Season
"Old Town Square, Panaji",Goa,West,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Panaji",Goa,West,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Panaji",Goa,West,Cultural,Eco Park,Easy,All Season
"Adventure Park, Panaji",Goa,West,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Panaji",Goa,West,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Panaji",Goa,West,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Panaji",Goa,West,Cultural,Sunset Point,Easy,All Season
"View Tower, Panaji",Goa,West,Cultural,View Tower,Easy,All Season
"Public Garden, Panaji",Goa,West,Cultural,Public Garden,Easy,All Season
"River Walk, Panaji",Goa,West,Cultural,River Walk,Easy,All Season
"City Museum, Mumbai",Maharashtra,West,Cultural,City Museum,Easy,All Season
"Riverfront Park, Mumbai",Maharashtra,West,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Mumbai",Maharashtra,West,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Mumbai",Maharashtra,West,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Mumbai",Maharashtra,West,Cultural,Hill View Point,Easy,All Season
"Lake Park, Mumbai",Maharashtra,West,Cultural,Lake Park,Easy,All Season
"Cultural Center, Mumbai",Maharashtra,West,Cultural,Cultural Center,Easy,All Season
"Science Museum, Mumbai",Maharashtra,West,Cultural,Science Museum,Easy,All Season
"Art Gallery, Mumbai",Maharashtra,West,Cultural,Art Gallery,Easy,All Season
"Historic Market, Mumbai",Maharashtra,West,Cultural,Historic Market,Easy,All Season
"Old Town Square, Mumbai",Maharashtra,West,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Mumbai",Maharashtra,West,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Mumbai",Maharashtra,West,Cultural,Eco Park,Easy,All Season
"Adventure Park, Mumbai",Maharashtra,West,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Mumbai",Maharashtra,West,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Mumbai",Maharashtra,West,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Mumbai",Maharashtra,West,Cultural,Sunset Point,Easy,All Season
"View Tower, Mumbai",Maharashtra,West,Cultural,View Tower,Easy,All Season
"Public Garden, Mumbai",Maharashtra,West,Cultural,Public Garden,Easy,All Season
"River Walk, Mumbai",Maharashtra,West,Cultural,River Walk,Easy,All Season
