Region,State,City,Destination Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Category,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Image URL
Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1,4.4,20,Yes,None,Historical,Yes,0.11,All,https://upload.wikimedia.org/wikipedia/commons/6/65/Malta_-_Birgu_-_Fort_Saint_Angelo_%28Upper_Barrakka_Gardens%29_01_ies.jpg
Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/17/1c/49/anthropology-and-ethnography.jpg?w=1200&h=1200&s=1
Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3,4.4,300,No,None,Wildlife,Yes,0.15,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/7c/47/ec/tiger-26-largejpg.jpg?w=1200&h=-1&s=1
Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2,4.4,50,Yes,None,Historical,Yes,1.2,All,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Shaniwar_wada_%28pune%29.jpg/1200px-Shaniwar_wada_%28pune%29.jpg
Western,Maharastra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,https://upload.wikimedia.org/wikipedia/commons/f/ff/Karla_caves_Chaitya.jpg
Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2,4.4,300,No,None,Nature,Yes,0.05,Afternoon,https://upload.wikimedia.org/wikipedia/commons/2/21/Kaas-7016.jpg
Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,None,Nature,Yes,0.02,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/fc/90/4a/viewing-platform-from.jpg?w=1200&h=-1&s=1
Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1,4.4,10,Yes,None,Historical,Yes,0.63,Afternoon,https://upload.wikimedia.org/wikipedia/commons/e/e1/Indore_Rajwada01.jpg
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1,4.4,0,No,None,Religious,Yes,0.01,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/bb/f0/f6/photo.jpg?w=1200&h=-1&s=1
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,0,No,None,Nature,Yes,0.1,Morning,https://upload.wikimedia.org/wikipedia/commons/9/91/Chitrakot_waterfalls.JPG
Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2,4.4,0,No,None,Recreational,Yes,0.01,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/9f/79/82/chamera-lake-also-known.jpg?w=1200&h=-1&s=1
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2,4.4,150,Yes,None,Historical,Yes,0.1,All,https://upload.wikimedia.org/wikipedia/commons/f/f0/Kangra_Fort_%2CHimachal_Pradesh_06.jpg
Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,Unknown,2.5,4.4,0,No,None,Nature,Yes,0.9,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f9/d3/3f/lake.jpg?w=1200&h=-1&s=1
Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1,4.4,0,Yes,None,Cultural,Yes,0.03,Morning,https://upload.wikimedia.org/wikipedia/commons/7/75/Rishikesh-Lakshman_Jhula_by_Kaustubh_Nayyar.jpg
Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3,4.4,100,Yes,None,Wildlife,Yes,0.3,All,https://upload.wikimedia.org/wikipedia/commons/7/78/Bengal-Tiger_Corbett_Uttarakhand_Dec-2013.jpg
Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,4.4,50,Yes,Monday,Historical,No,0.45,All,https://static.toiimg.com/thumb/103890956/Bara-Imambara.jpg?width=1200&height=900
Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,Yes,None,Historical,Yes,0.25,All,https://upload.wikimedia.org/wikipedia/commons/e/e8/Jhansi_Fort.jpg
Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2,4.4,40,Yes,None,Historical,Yes,0.07,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg/800px-Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg
Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4,4.4,20,No,None,Wildlife,Yes,0.02,All,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/13-10-08_217_CONFLUENCE_OF_INDUS_RIVER_N.jpg/1200px-13-10-08_217_CONFLUENCE_OF_INDUS_RIVER_N.jpg
Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3,4.4,250,Yes,None,Wildlife,Yes,0.035,All,https://upload.wikimedia.org/wikipedia/commons/f/f5/Elephant_safari.jpg
Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4,4.4,60,No,None,Wildlife,Yes,0.065,All,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Sundarban_Tiger.jpg/1200px-Sundarban_Tiger.jpg
Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3,4.4,100,Yes,None,Wildlife,Yes,0.07,All,https://upload.wikimedia.org/wikipedia/commons/1/1f/Gorumara_Gateway_Arnab_Dutta.JPG
Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1,4.4,0,No,None,Nature,Yes,0.055,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/72/da/1c/sanaghagara-waterfall.jpg?w=1200&h=1200&s=1
Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,None,Natural Wonder,Yes,0.11,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/1c/95/33/group-outing-belum-caves3.jpg?w=1200&h=-1&s=1
Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1,4.4,10,Yes,None,Wildlife,Yes,0.7,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/5f/02/90/uppalapadu-bird-sanctuary.jpg?w=1200&h=-1&s=1
North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2,4.4,500,Yes,None,Wildlife,Yes,0.037,All,https://upload.wikimedia.org/wikipedia/commons/8/82/Indian_Rhino_in_Pobitora.jpg
Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,4.4,250,No,None,Nature,Yes,0.015,Morning,https://media.australian.museum/media/dd/images/Ishigaki_ishigakijima_limestone_cave.8181618.width-800.6104bde.jpg
Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1,4.4,10,Yes,None,Cultural,Yes,0.31,All,https://upload.wikimedia.org/wikipedia/commons/1/1a/Buddha_Smriti_Park.jpg
Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon,https://upload.wikimedia.org/wikipedia/commons/6/68/Culture_Gully_and_Nautanki_Mahal_auditorium%2C_Kingdom_of_Dreams%2C_Gurgaon.jpg
Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2,4.4,200,Yes,None,Historical,Yes,0.51,Morning,https://upload.wikimedia.org/wikipedia/commons/a/a4/Chandra_Mahal%2C_City_Palace%2C_Jaipur%2C_20191218_0951_9043.jpg
Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Entrance_of_Sanjay_Gandhi_National_Park.JPG/284px-Entrance_of_Sanjay_Gandhi_National_Park.JPG
Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2,4.3,0,Yes,None,Recreational,Yes,0.05,Evening,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/18/a0/dc.jpg
Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5,4.3,1149,Yes,None,Recreational,Yes,0.27,All,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Thunder%2C_Esselworld.jpg/1200px-Thunder%2C_Esselworld.jpg
Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4,4.3,550,Yes,None,Historical,Yes,0.35,All ,https://whc.unesco.org/uploads/thumbs/site_0244_0004-750-750-20100705114254.jpg
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,4.3,0,Yes,None,Scenic,Yes,0.5,Evening,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Buddha_statue_11102016.jpg/270px-Buddha_statue_11102016.jpg
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,4.3,25,Yes,None,Wildlife,Yes,0.66,Afternoon,https://www.getbengal.com/uploads/story_image/Alipore-Zoo-Born.jpg
Southern,Goa,Goa,Colva Beach,Beach,Unknown,2,4.3,0,Yes,None,Scenic,Yes,0.1,Evening,https://upload.wikimedia.org/wikipedia/commons/0/06/Colv%C3%A1_beach.jpg
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2,4.3,0,No,None,Nature,Yes,0.3,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e9/52/a2/sunset-at-tata-tea-gardens.jpg?w=900&h=500&s=1
Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3,4.3,50,No,None,Wildlife,Yes,0.14,All,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Periyar_National_Park.JPG/800px-Periyar_National_Park.JPG
Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2,4.3,150,No,None,Wildlife,Yes,0.01,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/07/0b/38/the-road-takes-you-deeper.jpg?w=1200&h=1200&s=1
Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,Yes,None,Wildlife,Yes,0.035,All,https://upload.wikimedia.org/wikipedia/commons/0/0b/Okhla_bird_sanctuary_Entrance.jpeg
Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3,4.3,100,No,None,Wildlife,Yes,0.01,All,https://upload.wikimedia.org/wikipedia/commons/0/0b/Sunrise_in_Kishtwar_National_Park%2C_Jammu_and_Kashmir%2C_India.jpg
Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1,4.3,0,No,None,Nature,Yes,0.018,Morning,https://upload.wikimedia.org/wikipedia/commons/5/55/Badaghagara_Kendujhar.jpg
Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2,4.3,0,Yes,None,Nature,Yes,0.032,All,https://papikondalu.net.in/assets/images/papikondalu-tour-1200x800.jpg
Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2,4.3,20,Yes,None,Historical,Yes,0.15,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/3c/94/7e/pass-of-listening-ears.jpg?w=900&h=500&s=1
Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,None,Wildlife,Yes,0.5,All,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sanjay_Gandhi_Jaivik_Udyan.jpg/1200px-Sanjay_Gandhi_Jaivik_Udyan.jpg
Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,Yes,None,Scientific,Yes,0.31,Morning,https://upload.wikimedia.org/wikipedia/commons/b/b8/Jantar_Mantar%2C_New_Delhi_%28Misra_Yantra%29.jpg
Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,"https://media.cnn.com/api/v1/images/stellar/prod/gurudwara-sis-ganj-and-the-golden-mosque-next-to-it.jpg?c=16x9&q=h_833,w_1480,c_fill"
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,Yes,None,Historical,Yes,0.41,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Agrasen_ki_Baoli%2C_New_Delhi%2C_India_-_20070127.jpg/800px-Agrasen_ki_Baoli%2C_New_Delhi%2C_India_-_20070127.jpg
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,https://upload.wikimedia.org/wikipedia/commons/8/8f/Bangalore_Mysore_Maharaja_Palace.jpg
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,4.2,50,Yes,None,Wildlife,Yes,0.86,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/51/16/34/nehru-zoological-park.jpg?w=1200&h=-1&s=1
Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,None,Historical,Yes,0.95,Morning,https://upload.wikimedia.org/wikipedia/commons/a/ad/Fort_aguada.jpg
Southern,Goa,Goa,Chapora Fort,Fort,1617,1,4.2,0,Yes,None,Historical,Yes,0.19,Evening,https://upload.wikimedia.org/wikipedia/commons/3/35/Fort_Chapora_26012016.jpg
Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Scenic,Yes,0.3,Evening,https://www.beachblueproperties.com/wp-content/uploads/2024/03/miramar_beach_shutterstock-1350x900.jpg
Western,Maharastra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Recreational,Yes,0.05,Evening,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/46/6b/0a/alibaug.jpg?w=1200&h=-1&s=1
Northern,Uttarakhand,Nainital,Naini Lake,Lake,Unknown,1.5,4.2,0,Yes,None,Nature,Yes,0.01,Morning,https://upload.wikimedia.org/wikipedia/commons/2/28/The_Boat_and_The_Lake.jpg
Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,Unknown,1.5,4.2,15,Yes,None,Nature,Yes,0.55,Morning,https://www.justahotels.com/wp-content/uploads/2024/03/kempty-falls-scaled.jpeg
Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2,4.2,150,Yes,Monday,Wildlife,Yes,0.21,All,https://upload.wikimedia.org/wikipedia/commons/d/d0/Oskanpur-2.jpg
Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Recreational,Yes,0.014,Morning,https://static.toiimg.com/photo/47121490.cms
Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1,4.2,0,No,None,Recreational,Yes,0.019,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/13/4d/52/20171022120346-img-1018.jpg?w=1200&h=-1&s=1
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/aa/20/2c/made-by-cupboard-sheets.jpg?w=1200&h=-1&s=1
Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,35,Yes,None,Botanical,Yes,0.23,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/32/8b/e9/nipunsagarofficial-5.jpg?w=1200&h=-1&s=1
Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,4.1,20,Yes,None,Recreational,Yes,0.73,Evening,https://upload.wikimedia.org/wikipedia/commons/c/c2/Lumbini_Park%2C_Hyderabad.jpg
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,4.1,2500,Yes,None,Sports,Yes,0.1,All,https://upload.wikimedia.org/wikipedia/commons/7/73/%E0%A6%87%E0%A6%A1%E0%A7%87%E0%A6%A8_%E0%A6%97%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A7%87%E0%A6%A8%E0%A7%87_%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6_%E0%A6%93_%E0%A6%AA%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0_%E0%A6%96%E0%A7%87%E0%A6%B2%E0%A6%BE_%E0%A7%AB.jpg
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1,4.1,0,No,None,Nature,Yes,0.03,Morning,https://upload.wikimedia.org/wikipedia/commons/7/7a/Abbey_Falls_New.jpg
Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2,4.1,300,Yes,None,Recreational,Yes,0.1,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/3f/8e/3d/a-view-from-the-vineyards.jpg?w=1200&h=-1&s=1
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2,4.1,0,No,None,Adventure,Yes,0.05,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/b2/79/37/solang-valley-manali.jpg?w=1200&h=-1&s=1
Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1,4.1,20,Yes,None,Historical,Yes,0.0165,Afternoon,https://upload.wikimedia.org/wikipedia/commons/7/74/Aligarh_fort%2C_Aligarh.jpg
Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,Unknown,2,4.1,0,No,None,Recreational,Yes,0.01,All,https://r2imghtlak.mmtcdn.com/r2-mmt-htl-image/htl-imgs/201301031541242571-104aecda4fbc11e9a5c70242ac110003.jpg
Central,Uttar Pradesh,Mathura,Nand Gaon,Village,Unknown,1,4.1,0,Yes,None,Cultural,Yes,0.01,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a5/1d/8d/nandgaon-temple.jpg?w=900&h=500&s=1
Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1,4.1,10,Yes,None,Recreational,Yes,0.61,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/72/6e/a0/ooty-lake.jpg?w=1200&h=1200&s=1
North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1,4.1,0,Yes,None,Nature,Yes,0.01,Morning,https://upload.wikimedia.org/wikipedia/commons/4/4b/Umananda_Island%2C_Guwahati_%284%29.jpg
Southern,Puducherry,Auroville,Auroville,Township,1968,2,4.1,0,Yes,None,Cultural,Yes,0.035,All,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Auroville.JPG/1200px-Auroville.JPG
Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1,4,50,No,None,Recreational,Yes,0.025,All,https://static.toiimg.com/photo/59142289.cms
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,None,Recreational,Yes,0.059,All,https://www.keralatourism.org/_next/image/?url=http%3A%2F%2F127.0.0.1%2Fktadmin%2Fimg%2Fpages%2Fmobile%2Fkozhikode-beach-1724136273_4f4e219404e64aa92290.webp&w=3840&q=75
Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1,3.9,50,No,None,Historical,Yes,0.03,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Front_view_of_Jahaz_Mahal%2C_Mehrauli.jpg/1200px-Front_view_of_Jahaz_Mahal%2C_Mehrauli.jpg
Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2,3.9,0,Yes,None,Nature,Yes,0.1,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Birds_eyeview_of_Chilika_Lake.jpg/640px-Birds_eyeview_of_Chilika_Lake.jpg
Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,None,Recreational,Yes,0.1,Morning,https://upload.wikimedia.org/wikipedia/commons/d/d9/Chennai_-_bird%27s-eye_view.jpg
Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2,3.9,0,No,None,Recreational,Yes,0.1,Morning,https://upload.wikimedia.org/wikipedia/commons/c/c4/Kodaikanal_lake.jpg
Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2,3.8,50,Yes,None,Wildlife,Yes,0.1,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/33/ab/f4/les-sentiers.jpg?w=1200&h=-1&s=1
Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5,3.8,1500,Yes,None,Recreational,Yes,0.1,All,https://i.ytimg.com/vi/W_7-8Bx9_Wk/maxresdefault.jpg
Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,Unknown,0.5,3.7,0,Yes,None,Nature,Yes,0.1,All,https://upload.wikimedia.org/wikipedia/commons/4/45/Magnetic_Hill%2C_Leh.jpg
Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5,1.4,1149,No,Monday,Recreational,Yes,0.95,All,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Adlabs_Imagica_2013_%2810364145606%29.jpg/1200px-Adlabs_Imagica_2013_%2810364145606%29.jpg
